2024-02-01 20:02:16 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:763 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:870 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:871 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:206 INFO  HomePage :61 - Clicking on theOnline Bingo : [[[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (8c8841f5d898843697f58906f597c85f)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:400 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:924 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:37 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:37 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:419 INFO  HomePage :61 - Clicking on theFree Games : [[[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (82335647cb2ea89879bcebdd828cd55b)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
